Location,Total Land Area (acres),Number of Cows,Farm Size,Date,Product ID,Product Name,Brand,Quantity (liters/kg),Price per Unit,Total Value,Shelf Life (days),Storage Condition,Production Date,Expiration Date,Quantity Sold (liters/kg),Price per Unit (sold),Approx. Total Revenue(INR),Customer Location,Sales Channel,Quantity in Stock (liters/kg),Minimum Stock Threshold (liters/kg),Reorder Quantity (liters/kg)
Maharashtra,452.15,56,Medium,2022-10-18,5,Ice Cream,Mother Dairy,707.99,55.21,39088.13,133,Ambient,2022-09-07,2023-01-18,370.66,52.86,19593.09,Karnataka,Wholesale,337.33,5.21,21.01
Rajasthan,842.53,28,Medium,2019-09-04,1,Milk,Dodla Dairy,753.17,98.03,73833.26,122,Ambient,2019-08-26,2019-12-26,335.37,97.98,32859.55,Karnataka,Online,417.8,52.5,91.75
Chandigarh,821.6,120,Medium,2024-05-08,7,Lassi,Amul,569.12,46.11,26242.12,127,Ambient,2024-04-14,2024-08-19,559.9,45.28,25352.27,Gujarat,Online,9.22,83.22,121.26
Kerala,393.46,34,Medium,2021-08-15,6,Curd,Amul,285.24,40.84,11649.2,103,Tetra Pack,2021-06-25,2021-10-06,267.71,42.22,11302.72,Chandigarh,Wholesale,17.53,12.22,95.39
Karnataka,875.01,95,Medium,2024-10-01,3,Cheese,Passion Cheese,400.37,63.09,25259.34,16,Polythene Packet,2024-09-17,2024-10-03,13.9,66.31,921.71,Delhi,Retail,386.47,22.21,33.25
Madhya Pradesh,263.33,49,Small,2024-05-30,10,Ghee,Dynamix Dairies,455.22,51.7,23534.87,125,Polythene Packet,2024-05-13,2024-09-15,339.3,54.77,18583.46,Tamil Nadu,Online,115.92,8.03,20.99
Madhya Pradesh,436.16,63,Small,2019-02-01,10,Ghee,Dynamix Dairies,417.41,63.75,26609.89,110,Refrigerated,2019-01-17,2019-05-07,114.02,66.08,7534.44,Chandigarh,Wholesale,303.39,72.73,101.6
Rajasthan,296.34,88,Medium,2019-12-18,4,Yogurt,Amul,593.47,70.41,41786.22,91,Polythene Packet,2019-10-28,2020-01-27,349.9,66.12,23135.39,Kerala,Wholesale,243.57,24.68,45.19
Karnataka,853.79,93,Small,2019-11-02,4,Yogurt,Amul,992.73,46.99,46648.38,34,Ambient,2019-10-01,2019-11-04,548.66,45.8,25128.63,Jharkhand,Online,444.07,47.64,44.63
Chandigarh,655.2,29,Large,2020-07-15,7,Lassi,Dynamix Dairies,399.2,33.48,13365.22,140,Tetra Pack,2020-06-20,2020-11-07,146.57,36.63,5368.86,Karnataka,Retail,252.63,32.19,197.97
Delhi,247.89,81,Medium,2020-06-05,10,Ghee,Passion Cheese,152.01,93.38,14194.69,29,Frozen,2020-04-29,2020-05-28,31.12,87.54,2724.24,Uttar Pradesh,Wholesale,120.89,55.0,169.86
Tamil Nadu,102.73,68,Medium,2024-09-20,5,Ice Cream,Sudha,684.73,82.67,56606.63,52,Polythene Packet,2024-08-31,2024-10-22,543.37,87.67,47637.25,Kerala,Wholesale,141.36,55.18,62.8
Tamil Nadu,775.95,44,Medium,2020-02-10,2,Butter,Dynamix Dairies,306.57,73.47,22523.7,85,Polythene Packet,2020-01-12,2020-04-06,48.45,70.97,3438.5,Karnataka,Online,258.12,52.82,196.66
Jharkhand,506.32,110,Large,2022-09-20,1,Milk,Dynamix Dairies,579.67,19.11,11077.49,126,Frozen,2022-08-14,2022-12-18,476.43,20.36,9700.11,Tamil Nadu,Wholesale,103.24,82.43,61.54
Bihar,410.01,35,Large,2021-11-26,3,Cheese,Raj,884.31,37.43,33099.72,124,Polythene Packet,2021-10-10,2022-02-11,136.58,37.64,5140.87,Karnataka,Retail,747.73,15.65,190.45
Bihar,775.68,114,Small,2021-01-30,8,Buttermilk,Dynamix Dairies,649.02,99.41,64519.08,67,Refrigerated,2020-12-22,2021-02-27,501.57,92.38,46335.04,Tamil Nadu,Wholesale,147.45,90.51,184.87
Chandigarh,486.41,93,Small,2020-03-18,1,Milk,Passion Cheese,891.68,85.3,76060.3,35,Frozen,2020-02-07,2020-03-13,497.45,81.53,40557.1,Jharkhand,Retail,394.23,55.97,54.06
Rajasthan,507.78,88,Medium,2024-05-12,7,Lassi,Mother Dairy,786.7,32.94,25913.9,104,Frozen,2024-04-24,2024-08-06,753.88,34.3,25858.08,Chandigarh,Wholesale,32.82,83.01,116.23
Telangana,888.16,51,Large,2023-10-31,3,Cheese,Dodla Dairy,443.59,45.78,20307.55,90,Polythene Packet,2023-10-03,2024-01-01,437.07,46.44,20297.53,Rajasthan,Retail,6.52,83.15,187.09
Jharkhand,164.89,114,Small,2021-11-08,8,Buttermilk,Raj,271.61,98.33,26707.41,75,Refrigerated,2021-09-26,2021-12-10,97.24,106.14,10321.05,Chandigarh,Online,174.37,38.56,142.3
Jharkhand,616.95,61,Large,2019-06-30,1,Milk,Dynamix Dairies,574.18,96.79,55574.88,129,Ambient,2019-05-13,2019-09-19,375.63,101.63,38175.28,West Bengal,Wholesale,198.55,42.64,193.54
Madhya Pradesh,29.48,40,Small,2023-06-19,7,Lassi,Britannia Industries,843.44,95.15,80253.32,30,Refrigerated,2023-05-29,2023-06-28,270.35,87.0,23520.45,Uttar Pradesh,Wholesale,573.09,38.15,35.97
Maharashtra,23.83,120,Small,2020-11-09,7,Lassi,Dodla Dairy,83.42,49.61,4138.47,147,Ambient,2020-10-10,2021-03-06,49.71,51.89,2579.45,Jharkhand,Online,33.71,6.89,27.37
Madhya Pradesh,703.77,43,Medium,2024-11-13,7,Lassi,Dodla Dairy,564.86,74.64,42161.15,47,Ambient,2024-10-09,2024-11-25,169.31,68.69,11629.9,Maharashtra,Online,395.55,19.64,148.36
Telangana,735.98,66,Small,2022-02-28,1,Milk,Sudha,544.48,79.38,43220.82,73,Refrigerated,2022-01-05,2022-03-19,57.01,84.81,4835.02,Madhya Pradesh,Wholesale,487.47,93.58,61.29
Karnataka,813.97,25,Medium,2022-06-16,9,Paneer,Dodla Dairy,60.89,98.93,6023.85,89,Refrigerated,2022-05-08,2022-08-05,49.12,103.57,5087.36,Rajasthan,Wholesale,11.77,43.08,32.18
West Bengal,817.29,116,Small,2024-04-04,5,Ice Cream,Dynamix Dairies,837.26,51.53,43144.01,63,Tetra Pack,2024-03-09,2024-05-11,262.06,48.21,12633.91,Kerala,Retail,575.2,52.87,32.97
Telangana,865.52,72,Small,2024-12-19,5,Ice Cream,Passion Cheese,703.73,11.62,8177.34,137,Tetra Pack,2024-12-18,2025-05-04,564.15,10.85,6121.03,Tamil Nadu,Online,139.58,61.57,166.37
Tamil Nadu,819.71,112,Medium,2021-11-09,2,Butter,Passion Cheese,657.22,94.97,62416.18,39,Tetra Pack,2021-09-11,2021-10-20,315.51,91.21,28777.67,Tamil Nadu,Retail,341.71,24.93,166.07
Tamil Nadu,344.1,49,Medium,2022-05-30,1,Milk,Raj,940.35,57.84,54389.84,28,Polythene Packet,2022-05-16,2022-06-13,37.79,60.85,2299.52,Tamil Nadu,Online,902.56,23.67,113.53
Maharashtra,895.23,57,Medium,2019-06-03,4,Yogurt,Dynamix Dairies,447.64,10.3,4610.69,35,Ambient,2019-05-01,2019-06-05,444.58,10.29,4574.73,Karnataka,Retail,3.06,93.8,71.01
Chandigarh,429.16,44,Small,2022-11-15,8,Buttermilk,Dynamix Dairies,947.83,20.9,19809.65,35,Tetra Pack,2022-11-12,2022-12-17,12.34,22.99,283.7,Rajasthan,Wholesale,935.49,6.68,142.94
Madhya Pradesh,388.89,67,Medium,2022-12-17,8,Buttermilk,Mother Dairy,88.12,78.23,6893.63,44,Tetra Pack,2022-10-19,2022-12-02,54.54,77.41,4221.94,Tamil Nadu,Online,33.58,81.07,112.18
Bihar,212.14,41,Medium,2022-12-07,8,Buttermilk,Dynamix Dairies,601.91,79.89,48086.59,18,Polythene Packet,2022-11-24,2022-12-12,133.35,83.92,11190.73,Bihar,Online,468.56,91.11,135.09
Gujarat,157.3,40,Small,2020-12-22,8,Buttermilk,Dynamix Dairies,336.33,70.77,23802.07,51,Ambient,2020-10-24,2020-12-14,154.67,63.98,9895.79,Chandigarh,Retail,181.66,51.42,141.2
Madhya Pradesh,427.82,42,Large,2021-06-08,1,Milk,Mother Dairy,487.64,41.81,20388.23,103,Frozen,2021-05-28,2021-09-08,242.72,38.0,9223.36,Tamil Nadu,Online,244.92,40.39,186.57
Chandigarh,221.43,103,Small,2019-11-14,5,Ice Cream,Dodla Dairy,621.6,71.14,44220.62,15,Refrigerated,2019-11-06,2019-11-21,582.84,65.74,38315.9,Madhya Pradesh,Online,38.76,11.81,153.67
Karnataka,183.38,25,Small,2024-03-30,9,Paneer,Dodla Dairy,240.22,43.09,10351.08,129,Ambient,2024-03-20,2024-07-27,100.98,42.78,4319.92,Karnataka,Retail,139.24,72.57,176.68
Rajasthan,669.2,41,Medium,2022-12-11,10,Ghee,Sudha,415.7,51.46,21391.92,83,Polythene Packet,2022-10-16,2023-01-07,3.9,50.46,196.79,Haryana,Retail,411.8,81.35,140.22
Kerala,237.1,78,Large,2024-07-03,9,Paneer,Passion Cheese,838.53,46.93,39352.21,8,Ambient,2024-06-19,2024-06-27,768.02,47.94,36818.88,Telangana,Wholesale,70.51,57.11,121.31
Gujarat,790.41,77,Small,2020-05-27,4,Yogurt,Mother Dairy,417.42,59.44,24811.44,149,Refrigerated,2020-04-26,2020-09-22,141.1,62.34,8796.17,Haryana,Wholesale,276.32,9.98,112.49
Jharkhand,29.24,51,Medium,2021-07-16,5,Ice Cream,Raj,639.65,13.54,8660.86,65,Frozen,2021-06-09,2021-08-13,13.31,12.99,172.9,Tamil Nadu,Online,626.34,27.51,155.1
Bihar,202.29,82,Small,2022-02-15,5,Ice Cream,Dynamix Dairies,347.09,82.64,28683.52,26,Frozen,2022-01-30,2022-02-25,101.77,77.39,7875.98,Chandigarh,Online,245.32,80.44,96.7
Delhi,863.19,20,Large,2019-08-08,4,Yogurt,Dodla Dairy,804.09,10.2,8201.72,114,Polythene Packet,2019-07-26,2019-11-17,197.4,10.93,2157.58,Telangana,Retail,606.69,59.83,58.04
Uttar Pradesh,741.64,104,Small,2020-05-01,10,Ghee,Dodla Dairy,656.17,71.32,46798.04,82,Polythene Packet,2020-04-09,2020-06-30,438.52,77.22,33862.51,Gujarat,Wholesale,217.65,61.41,125.09
Karnataka,374.2,112,Small,2023-05-31,8,Buttermilk,Dynamix Dairies,752.38,18.69,14061.98,1,Tetra Pack,2023-04-10,2023-04-11,185.04,19.77,3658.24,Rajasthan,Retail,567.34,84.01,177.55
Gujarat,740.7,28,Large,2024-03-20,4,Yogurt,Britannia Industries,587.51,50.08,29422.5,4,Polythene Packet,2024-03-09,2024-03-13,125.99,54.81,6905.51,Chandigarh,Retail,461.52,44.37,122.98
Rajasthan,457.28,55,Large,2022-12-19,1,Milk,Amul,930.57,60.99,56755.46,94,Ambient,2022-11-29,2023-03-03,417.03,62.65,26126.93,Rajasthan,Retail,513.54,32.63,107.01
Maharashtra,558.53,119,Medium,2020-04-08,9,Paneer,Mother Dairy,410.52,37.73,15488.92,100,Refrigerated,2020-02-08,2020-05-18,53.66,38.68,2075.57,Uttar Pradesh,Retail,356.86,36.89,120.18
Haryana,837.99,81,Large,2021-03-20,5,Ice Cream,Dodla Dairy,435.01,50.7,22055.01,17,Tetra Pack,2021-03-01,2021-03-18,84.72,53.65,4545.23,Uttar Pradesh,Online,350.29,16.2,148.31
Kerala,591.47,65,Medium,2019-07-23,7,Lassi,Sudha,330.08,47.93,15820.73,3,Tetra Pack,2019-07-04,2019-07-07,292.24,50.35,14714.28,Jharkhand,Wholesale,37.84,28.74,57.14
Haryana,176.01,30,Large,2021-09-21,9,Paneer,Dynamix Dairies,202.84,30.86,6259.64,13,Ambient,2021-08-30,2021-09-12,73.88,28.08,2074.55,Delhi,Online,128.96,85.03,48.24
Bihar,758.69,102,Small,2020-05-09,5,Ice Cream,Passion Cheese,553.53,98.54,54544.85,135,Refrigerated,2020-04-24,2020-09-06,182.27,90.7,16531.89,Chandigarh,Wholesale,371.26,72.86,164.66
Kerala,757.88,82,Medium,2021-01-24,8,Buttermilk,Dynamix Dairies,171.03,82.22,14062.09,126,Ambient,2020-12-18,2021-04-23,163.05,87.41,14252.2,Jharkhand,Online,7.98,7.76,83.05
Tamil Nadu,228.25,29,Small,2022-07-28,7,Lassi,Amul,833.24,66.36,55293.81,3,Polythene Packet,2022-07-01,2022-07-04,562.88,68.68,38658.6,Tamil Nadu,Online,270.36,52.27,80.92
Uttar Pradesh,379.23,39,Large,2020-07-31,7,Lassi,Dynamix Dairies,243.7,39.31,9579.85,70,Polythene Packet,2020-07-05,2020-09-13,65.96,36.15,2384.45,Delhi,Online,177.74,80.16,98.03
Telangana,62.32,41,Medium,2022-09-02,8,Buttermilk,Dodla Dairy,962.67,87.68,84406.91,100,Ambient,2022-08-22,2022-11-30,951.83,88.39,84132.25,Karnataka,Retail,10.84,45.97,81.34
Telangana,695.91,75,Large,2022-05-12,4,Yogurt,Dodla Dairy,396.12,99.77,39520.89,23,Tetra Pack,2022-03-24,2022-04-16,12.78,92.65,1184.07,Tamil Nadu,Wholesale,383.34,99.17,28.17
Telangana,279.09,107,Medium,2021-04-08,3,Cheese,Amul,882.64,52.51,46347.43,127,Tetra Pack,2021-02-08,2021-06-15,140.38,49.11,6894.06,Maharashtra,Wholesale,742.26,94.63,39.42
Rajasthan,800.45,73,Small,2019-08-08,3,Cheese,Amul,595.17,42.56,25330.44,87,Ambient,2019-06-10,2019-09-05,411.41,40.07,16485.2,Bihar,Online,183.76,18.19,142.05
Delhi,816.99,71,Medium,2023-03-13,4,Yogurt,Dodla Dairy,355.57,86.46,30742.58,117,Polythene Packet,2023-01-14,2023-05-11,232.85,87.18,20299.86,Jharkhand,Wholesale,122.72,32.97,43.86
Rajasthan,48.84,54,Small,2019-12-01,5,Ice Cream,Britannia Industries,388.02,31.39,12179.95,96,Tetra Pack,2019-10-02,2020-01-06,131.99,33.04,4360.95,Rajasthan,Retail,256.03,50.24,71.3
Delhi,445.94,112,Small,2023-06-19,4,Yogurt,Dodla Dairy,163.16,38.24,6239.24,124,Refrigerated,2023-04-28,2023-08-30,145.73,38.23,5571.26,Chandigarh,Online,17.43,8.92,36.93
Jharkhand,570.98,92,Medium,2019-06-21,5,Ice Cream,Raj,567.22,73.11,41469.45,84,Frozen,2019-05-13,2019-08-05,31.09,70.45,2190.29,Haryana,Wholesale,536.13,40.36,121.12
Gujarat,280.32,84,Medium,2023-11-02,4,Yogurt,Mother Dairy,24.04,69.46,1669.82,23,Tetra Pack,2023-09-06,2023-09-29,12.17,62.82,764.52,West Bengal,Retail,11.87,74.15,191.6
Maharashtra,828.17,94,Small,2020-05-05,6,Curd,Amul,278.83,42.59,11875.37,83,Ambient,2020-04-20,2020-07-12,117.79,44.61,5254.61,Chandigarh,Online,161.04,26.04,81.29
Telangana,319.85,104,Small,2019-05-24,10,Ghee,Britannia Industries,239.2,81.29,19444.57,70,Tetra Pack,2019-04-12,2019-06-21,137.32,86.38,11861.7,Uttar Pradesh,Wholesale,101.88,59.36,140.33
Gujarat,744.3,22,Small,2022-02-15,2,Butter,Dodla Dairy,392.93,13.65,5363.49,23,Frozen,2021-12-17,2022-01-09,344.7,13.13,4525.91,Chandigarh,Wholesale,48.23,79.13,166.4
Bihar,260.75,81,Large,2020-02-04,9,Paneer,Raj,61.67,10.12,624.1,135,Refrigerated,2020-01-13,2020-05-27,40.38,10.68,431.26,Delhi,Wholesale,21.29,59.58,38.9
Uttar Pradesh,207.35,36,Large,2024-05-28,3,Cheese,Dynamix Dairies,470.14,93.13,43784.14,22,Refrigerated,2024-05-10,2024-06-01,102.08,89.21,9106.56,Jharkhand,Online,368.06,27.25,161.6
Telangana,786.72,67,Medium,2020-01-09,2,Butter,Sudha,384.62,46.18,17761.75,120,Ambient,2020-01-03,2020-05-02,128.82,44.76,5765.98,Bihar,Retail,255.8,24.3,117.34
Rajasthan,574.12,69,Medium,2023-07-23,7,Lassi,Sudha,451.92,26.43,11944.25,13,Ambient,2023-06-06,2023-06-19,355.07,25.11,8915.81,Chandigarh,Online,96.85,51.76,52.18
Madhya Pradesh,298.85,79,Medium,2024-10-01,5,Ice Cream,Dodla Dairy,726.59,40.17,29187.12,122,Ambient,2024-09-08,2025-01-08,681.4,38.5,26233.9,Tamil Nadu,Wholesale,45.19,27.86,177.57
Haryana,174.86,22,Small,2021-09-03,5,Ice Cream,Dodla Dairy,843.12,42.76,36051.81,4,Refrigerated,2021-08-21,2021-08-25,82.94,44.83,3718.2,West Bengal,Retail,760.18,11.76,48.87
Gujarat,324.15,29,Small,2023-05-23,2,Butter,Britannia Industries,246.27,70.52,17366.96,29,Ambient,2023-03-26,2023-04-24,5.59,77.35,432.39,Kerala,Online,240.68,98.86,147.75
Tamil Nadu,601.53,80,Medium,2022-05-18,1,Milk,Dynamix Dairies,804.82,89.12,71725.56,23,Tetra Pack,2022-05-09,2022-06-01,125.24,91.28,11431.91,Gujarat,Wholesale,679.58,53.06,183.96
Rajasthan,76.18,32,Small,2021-10-14,2,Butter,Raj,712.68,97.55,69521.93,58,Refrigerated,2021-10-12,2021-12-09,68.81,90.92,6256.21,Gujarat,Wholesale,643.87,24.09,119.92
Karnataka,539.23,60,Small,2022-05-24,6,Curd,Amul,353.51,57.49,20323.29,28,Refrigerated,2022-05-16,2022-06-13,33.06,53.12,1756.15,Rajasthan,Wholesale,320.45,90.67,83.78
Madhya Pradesh,370.49,107,Large,2020-11-20,3,Cheese,Mother Dairy,10.05,57.04,573.25,116,Frozen,2020-09-21,2021-01-15,8.86,57.77,511.84,Bihar,Online,1.19,10.44,139.8
Gujarat,787.95,33,Medium,2021-12-06,5,Ice Cream,Passion Cheese,43.44,24.19,1050.81,142,Ambient,2021-11-27,2022-04-18,28.36,23.66,671.0,Telangana,Online,15.08,19.61,137.0
Kerala,54.33,42,Medium,2024-07-27,3,Cheese,Mother Dairy,30.44,59.59,1813.92,7,Polythene Packet,2024-07-07,2024-07-14,8.79,63.95,562.12,Kerala,Online,21.65,21.24,86.8
Maharashtra,258.57,21,Medium,2024-03-17,2,Butter,Dodla Dairy,124.24,55.07,6841.9,115,Ambient,2024-03-08,2024-07-01,8.71,57.72,502.74,Kerala,Wholesale,115.53,37.87,180.55
Bihar,54.99,53,Medium,2021-11-07,1,Milk,Dynamix Dairies,582.15,52.16,30364.94,126,Polythene Packet,2021-11-03,2022-03-09,295.55,53.9,15930.15,Chandigarh,Wholesale,286.6,27.52,127.9
Maharashtra,106.71,103,Medium,2020-08-20,5,Ice Cream,Britannia Industries,123.73,44.66,5525.78,37,Tetra Pack,2020-07-29,2020-09-04,26.34,42.26,1113.13,Jharkhand,Retail,97.39,76.79,72.5
West Bengal,52.39,66,Medium,2021-05-25,8,Buttermilk,Raj,666.51,80.83,53874.0,133,Ambient,2021-05-22,2021-10-02,103.58,88.05,9120.22,Madhya Pradesh,Retail,562.93,15.73,81.28
Chandigarh,841.21,65,Large,2023-03-24,6,Curd,Britannia Industries,248.5,79.19,19678.72,67,Tetra Pack,2023-02-23,2023-05-01,188.06,75.62,14221.1,Bihar,Retail,60.44,88.39,76.81
Uttar Pradesh,690.29,60,Small,2024-01-13,1,Milk,Mother Dairy,269.93,93.6,25265.45,60,Refrigerated,2023-12-06,2024-02-04,133.07,86.63,11527.85,Telangana,Online,136.86,32.88,88.59
Karnataka,633.09,52,Medium,2022-02-05,10,Ghee,Dodla Dairy,947.14,22.44,21253.82,140,Ambient,2021-12-16,2022-05-05,712.5,21.32,15190.5,Gujarat,Online,234.64,36.62,147.64
Delhi,590.86,62,Medium,2024-07-18,6,Curd,Raj,662.42,67.43,44666.98,77,Polythene Packet,2024-07-08,2024-09-23,349.47,71.05,24829.84,Gujarat,Wholesale,312.95,89.39,48.22
Kerala,711.35,22,Large,2023-05-28,7,Lassi,Passion Cheese,402.42,81.41,32761.01,128,Tetra Pack,2023-04-10,2023-08-16,244.66,77.26,18902.43,Madhya Pradesh,Online,157.76,25.99,36.65
West Bengal,816.08,95,Large,2022-10-20,6,Curd,Sudha,399.34,85.01,33947.89,48,Polythene Packet,2022-09-21,2022-11-08,383.85,83.35,31993.9,Delhi,Wholesale,15.49,63.92,188.34
Rajasthan,747.35,52,Medium,2020-10-06,7,Lassi,Dodla Dairy,731.96,70.92,51910.6,23,Polythene Packet,2020-09-05,2020-09-28,178.11,67.69,12056.27,Chandigarh,Wholesale,553.85,24.74,172.54
Tamil Nadu,125.92,69,Small,2022-11-02,7,Lassi,Amul,815.91,67.42,55008.65,43,Ambient,2022-09-06,2022-10-19,723.06,65.75,47541.19,Delhi,Retail,92.85,7.4,174.62
Uttar Pradesh,26.75,84,Large,2020-10-17,2,Butter,Mother Dairy,224.79,58.37,13120.99,110,Refrigerated,2020-08-27,2020-12-15,129.94,58.34,7580.7,Tamil Nadu,Retail,94.85,43.94,124.72
Tamil Nadu,430.86,30,Large,2021-09-06,4,Yogurt,Passion Cheese,553.25,88.37,48890.7,132,Tetra Pack,2021-08-23,2022-01-02,114.91,92.59,10639.52,Jharkhand,Online,438.34,17.63,80.43
Madhya Pradesh,669.12,77,Large,2019-06-15,8,Buttermilk,Sudha,782.06,55.52,43419.97,57,Tetra Pack,2019-06-14,2019-08-10,95.02,58.53,5561.52,Tamil Nadu,Retail,687.04,50.88,32.94
West Bengal,543.24,52,Small,2022-10-12,8,Buttermilk,Britannia Industries,138.3,26.9,3720.27,57,Tetra Pack,2022-09-14,2022-11-10,35.22,25.89,911.85,Bihar,Retail,103.08,25.71,67.94
Rajasthan,400.53,41,Large,2022-03-11,4,Yogurt,Passion Cheese,540.97,72.29,39106.72,101,Ambient,2022-02-10,2022-05-22,538.58,71.35,38427.68,Delhi,Retail,2.39,53.41,89.21
Telangana,307.35,75,Small,2024-10-17,6,Curd,Amul,539.79,29.14,15729.48,35,Ambient,2024-09-08,2024-10-13,28.34,26.24,743.64,Bihar,Online,511.45,30.6,119.06
Rajasthan,37.27,90,Large,2022-06-13,1,Milk,Mother Dairy,984.3,95.02,93528.19,56,Tetra Pack,2022-06-11,2022-08-06,596.18,97.6,58187.17,Madhya Pradesh,Wholesale,388.12,58.14,135.55
West Bengal,407.4,43,Small,2023-07-10,4,Yogurt,Dodla Dairy,592.44,43.48,25759.29,77,Frozen,2023-06-15,2023-08-31,428.69,41.27,17692.04,Uttar Pradesh,Online,163.75,91.69,143.34
Delhi,75.76,40,Large,2023-09-14,4,Yogurt,Mother Dairy,985.02,71.47,70399.38,84,Frozen,2023-08-01,2023-10-24,966.59,75.63,73103.2,Bihar,Wholesale,18.43,46.62,93.2
Uttar Pradesh,676.67,84,Medium,2021-08-25,9,Paneer,Britannia Industries,74.75,31.6,2362.1,94,Refrigerated,2021-07-16,2021-10-18,22.79,32.94,750.7,Uttar Pradesh,Wholesale,51.96,48.29,99.88
Madhya Pradesh,899.5,61,Large,2023-03-18,7,Lassi,Dodla Dairy,132.1,74.74,9873.15,16,Refrigerated,2023-01-29,2023-02-14,83.97,71.98,6044.16,Tamil Nadu,Online,48.13,56.85,83.0
Haryana,406.98,42,Small,2024-08-30,3,Cheese,Britannia Industries,627.9,28.61,17964.22,142,Refrigerated,2024-08-22,2025-01-11,602.34,25.82,15552.42,Uttar Pradesh,Retail,25.56,43.27,187.84
Haryana,782.5,83,Large,2023-06-10,9,Paneer,Mother Dairy,637.94,94.81,60483.09,32,Frozen,2023-06-07,2023-07-09,271.02,86.92,23557.06,Delhi,Wholesale,366.92,97.38,179.29
Rajasthan,825.66,85,Large,2024-03-12,1,Milk,Sudha,876.41,36.85,32295.71,42,Frozen,2024-01-27,2024-03-09,100.58,35.57,3577.63,Rajasthan,Wholesale,775.83,12.69,104.53
Maharashtra,327.83,113,Large,2024-12-12,1,Milk,Mother Dairy,83.36,31.79,2650.01,145,Polythene Packet,2024-12-03,2025-04-27,54.98,30.43,1673.04,Gujarat,Retail,28.38,73.16,188.58
West Bengal,54.51,82,Small,2019-06-22,4,Yogurt,Raj,559.22,66.72,37311.16,119,Frozen,2019-05-29,2019-09-25,195.37,70.66,13804.84,Chandigarh,Online,363.85,79.43,89.02
Telangana,401.69,27,Large,2022-05-22,3,Cheese,Sudha,114.22,32.15,3672.17,19,Frozen,2022-05-04,2022-05-23,110.5,34.43,3804.51,Tamil Nadu,Retail,3.72,95.9,89.28
Jharkhand,40.35,82,Small,2021-03-24,3,Cheese,Raj,213.15,31.13,6635.36,11,Polythene Packet,2021-02-18,2021-03-01,33.23,32.05,1065.02,Karnataka,Wholesale,179.92,10.54,189.22
Karnataka,238.82,89,Large,2021-10-01,2,Butter,Dynamix Dairies,901.72,59.07,53264.6,76,Ambient,2021-08-17,2021-11-01,719.12,64.87,46649.31,Delhi,Wholesale,182.6,51.74,87.77
Maharashtra,264.74,95,Medium,2020-11-22,5,Ice Cream,Raj,523.9,71.97,37705.08,95,Ambient,2020-10-23,2021-01-26,332.74,69.52,23132.08,Uttar Pradesh,Online,191.16,26.42,100.92
Maharashtra,741.02,29,Small,2020-11-16,4,Yogurt,Mother Dairy,786.98,21.57,16975.16,107,Frozen,2020-10-06,2021-01-21,533.6,23.58,12582.29,Maharashtra,Retail,253.38,95.07,92.12
Telangana,771.84,77,Large,2024-12-06,5,Ice Cream,Amul,662.49,82.69,54781.3,145,Ambient,2024-10-28,2025-03-22,164.96,80.61,13297.43,Chandigarh,Retail,497.53,58.35,27.81
Maharashtra,497.65,120,Medium,2023-12-13,9,Paneer,Raj,724.51,85.92,62249.9,36,Polythene Packet,2023-10-24,2023-11-29,123.13,93.1,11463.4,Chandigarh,Wholesale,601.38,48.36,175.96
Haryana,421.61,105,Small,2020-05-29,9,Paneer,Britannia Industries,896.02,11.73,10510.31,121,Ambient,2020-04-09,2020-08-08,588.43,12.61,7420.1,Chandigarh,Online,307.59,14.27,71.78
Uttar Pradesh,161.23,37,Large,2022-02-27,7,Lassi,Dodla Dairy,963.73,97.2,93674.56,94,Ambient,2021-12-30,2022-04-03,132.65,94.19,12494.3,Gujarat,Online,831.08,88.94,35.22
Bihar,337.39,107,Medium,2024-05-11,5,Ice Cream,Dynamix Dairies,506.18,35.58,18009.88,6,Tetra Pack,2024-04-17,2024-04-23,433.64,35.04,15194.75,Telangana,Wholesale,72.54,33.02,65.71
Haryana,250.39,115,Large,2020-04-05,4,Yogurt,Sudha,389.28,62.87,24474.03,15,Refrigerated,2020-02-17,2020-03-03,67.32,57.62,3878.98,Rajasthan,Online,321.96,25.67,122.73
Telangana,415.75,70,Small,2020-02-02,7,Lassi,Mother Dairy,320.11,98.01,31373.98,111,Polythene Packet,2020-01-15,2020-05-05,2.82,106.87,301.37,Uttar Pradesh,Online,317.29,55.45,101.04
Karnataka,96.84,105,Medium,2020-04-09,3,Cheese,Amul,377.8,94.48,35694.54,130,Ambient,2020-02-18,2020-06-27,203.81,99.28,20234.26,Telangana,Wholesale,173.99,33.12,162.68
Tamil Nadu,43.3,114,Large,2019-01-06,3,Cheese,Britannia Industries,182.92,83.4,15255.53,122,Polythene Packet,2019-01-05,2019-05-07,156.17,78.02,12184.38,Kerala,Retail,26.75,33.17,35.49
Madhya Pradesh,899.6,98,Small,2019-06-22,7,Lassi,Dodla Dairy,400.33,35.86,14355.83,79,Refrigerated,2019-06-06,2019-08-24,336.67,36.48,12281.72,Uttar Pradesh,Online,63.66,28.82,127.61
Rajasthan,854.57,107,Large,2021-04-04,2,Butter,Mother Dairy,37.31,66.54,2482.61,120,Polythene Packet,2021-03-29,2021-07-27,34.74,60.69,2108.37,West Bengal,Wholesale,2.57,77.9,157.01
